French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
ville,city
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
pendant,while
revoir,meet again
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
type,type
donné,given
train,train
corps,body
endroit,place
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
pouvoir,power
vieux,old
sois,be
tellement,so much
venu,came
suite,after
pardon,sorry
venez,come
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
attendez,Wait
parti,left
nouvelle,new
boulot,job
compte,account
donne,given
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
